"product_id","title","current_handle","target_handle","status","needs_change","suspicious_current_handle","german_special_chars","en_global_handle","en_global_handle_outdated","market_specific_en_handles","target_collision_collection","target_collision_store"
"gid://shopify/Product/11003301953874","Fototapete Heller Marmor in Blau und Gold","13-1","fototapete-heller-marmor-in-blau-und-gold","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11003301658962","Fototapete Smaragdgrüner Marmor mit Gold","12-1","fototapete-smaragdgruener-marmor-mit-gold","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11003301560658","Fototapete Marmor in Pink und Blau","11-1","fototapete-marmor-in-pink-und-blau","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11003301364050","Fototapete Salbeigrüner Marmor mit Gold","10-1","fototapete-salbeigruener-marmor-mit-gold","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11003301101906","Fototapete Pastell Marmor in Rosa und Türkis","9-1","fototapete-pastell-marmor-in-rosa-und-tuerkis","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11003301036370","Fototapete Pastell Marmor in Rosa und Hellblau","8-1","fototapete-pastell-marmor-in-rosa-und-hellblau","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11003300872530","Fototapete Aquarell Marmor in Salbeigrün und Gold","7-1","fototapete-aquarell-marmor-in-salbeigruen-und-gold","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11003300708690","Fototapete Rosa Wellen mit goldenen Akzenten","6-1","fototapete-rosa-wellen-mit-goldenen-akzenten","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11003300577618","Fototapete Ginkgo Linien in Gold und Aquarell","5-1","fototapete-ginkgo-linien-in-gold-und-aquarell","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11003300282706","Fototapete Pastell Marmor mit goldenen Linien","3-1","fototapete-pastell-marmor-mit-goldenen-linien","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11003300086098","Fototapete Türkise Marmorstruktur mit goldenen Details","2-1","fototapete-tuerkise-marmorstruktur-mit-goldenen-details","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11003300053330","Fototapete Dunkle Marmorstruktur mit goldenen Akzenten","1-1","fototapete-dunkle-marmorstruktur-mit-goldenen-akzenten","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11002607894866","Fototapete Pfingstrosen mit zarten Blüten im Abendlicht","fototapete-elegante-pfingstrosen-im-abendlicht-kopie","fototapete-pfingstrosen-mit-zarten-blueten-im-abendlicht","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11002557071698","Fototapete Elegante Lilien in zarten Rosétönen","16","fototapete-elegante-lilien-in-zarten-rosetoenen","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11002556219730","Fototapete Tropische Blüten mit Monstera-Blättern","14","fototapete-tropische-blueten-mit-monstera-blaettern","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11002555728210","Fototapete Elegante Pfingstrosen im Abendlicht","13","fototapete-elegante-pfingstrosen-im-abendlicht","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11002555334994","Fototapete Zarte Kirschblüten in Rosé","12","fototapete-zarte-kirschblueten-in-rose","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11002555236690","Fototapete Romantischer Blumenmix in Pastell","11","fototapete-romantischer-blumenmix-in-pastell","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11002555040082","Fototapete Sanfte Pfingstrosen in Pastell","10","fototapete-sanfte-pfingstrosen-in-pastell","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11002554843474","Fototapete Zarte Pfingstrosen auf hellem Hintergrund","9","fototapete-zarte-pfingstrosen-auf-hellem-hintergrund","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11002554777938","Fototapete Zarte Pfingstrosen in Rosé","8","fototapete-zarte-pfingstrosen-in-rose","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11002554581330","Fototapete Blaue Blüte mit goldenen Akzenten","7","fototapete-blaue-bluete-mit-goldenen-akzenten","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11002554384722","Fototapete Elegante Blüten in Petrol und Gold","6","fototapete-elegante-blueten-in-petrol-und-gold","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11002554188114","Fototapete Leuchtende Blüten bei Nacht","5","fototapete-leuchtende-blueten-bei-nacht","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11002553991506","Fototapete Elegante Dahlien auf schwarzem Hintergrund","4","fototapete-elegante-dahlien-auf-schwarzem-hintergrund","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11002553893202","Fototapete Zarte Blütenblätter in Pastellfarben","3","fototapete-zarte-bluetenblaetter-in-pastellfarben","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11002553532754","Fototapete Abstrakte Blütenkomposition in Pastellfarben","2","fototapete-abstrakte-bluetenkomposition-in-pastellfarben","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11002553106770","Fototapete Ausdrucksstarke Blumenkomposition","1","fototapete-ausdrucksstarke-blumenkomposition","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11002538983762","Fototapete Türkise Meeresküste aus der Vogelperspektive","base-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie","fototapete-tuerkise-meereskueste-aus-der-vogelperspektive","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11002538819922","Fototapete Tropische Lagune mit Longtail-Booten","base-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie","fototapete-tropische-lagune-mit-longtail-booten","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11002528923986","Fototapete Bergsee mit majestätischem Alpenpanorama","base-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie","fototapete-bergsee-mit-majestaetischem-alpenpanorama","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11002528858450","Fototapete Bergsee mit schneebedeckten Gipfeln","base-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie","fototapete-bergsee-mit-schneebedeckten-gipfeln","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11002528760146","Fototapete Grüne Berglandschaft mit schneebedeckten Gipfeln","base-kopie-kopie-kopie-kopie-kopie-kopie-kopie-kopie","fototapete-gruene-berglandschaft-mit-schneebedeckten-gipfeln","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11002512015698","Fototapete Türkisblauer Traumstrand aus der Vogelperspektive","base-kopie-kopie-kopie-kopie-kopie-kopie-kopie","fototapete-tuerkisblauer-traumstrand-aus-der-vogelperspektive","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11002511917394","Fototapete Tropischer Strand bei Sonnenuntergang","base-kopie-kopie-kopie-kopie-kopie-kopie","fototapete-tropischer-strand-bei-sonnenuntergang","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11002511720786","Fototapete Sandweg zum sonnigen Traumstrand","base-kopie-kopie-kopie-kopie-kopie","fototapete-sandweg-zum-sonnigen-traumstrand","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11002511491410","Fototapete Tropischer Strand im goldenen Sonnenuntergang","base-kopie-kopie-kopie-kopie","fototapete-tropischer-strand-im-goldenen-sonnenuntergang","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11002511425874","Fototapete Tropischer Sandstrand mit Palmen und türkisem Meer","base-kopie-kopie-kopie","fototapete-tropischer-sandstrand-mit-palmen-und-tuerkisem-meer","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/11002511262034","Fototapete Goldene Wildblumen im Morgenlicht","base-kopie-kopie","fototapete-goldene-wildblumen-im-morgenlicht","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11002511098194","Fototapete Pastellhimmel im Abendlicht","base-kopie-4","fototapete-pastellhimmel-im-abendlicht","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11000858247506","Fototapete Pastellwolken im Sonnenaufgang","base-kopie-3","fototapete-pastellwolken-im-sonnenaufgang","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11000856084818","Fototapete Sonnenuntergang am ruhigen Sandstrand","base-kopie-2","fototapete-sonnenuntergang-am-ruhigen-sandstrand","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11000852185426","Fototapete Pastellhimmel mit Lichtreflexen und Wolken","base-kopie-1","fototapete-pastellhimmel-mit-lichtreflexen-und-wolken","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/11000845795666","Fototapete Tropischer Pflanzenwald in sanften Grüntönen","fototapete-tropischer-pflanzenwald-in-sanften-gruntonen","fototapete-tropischer-pflanzenwald-in-sanften-gruentoenen","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/11000485314898","Fototapete Tropische Palmenlandschaft in sanften Naturtönen","fototapete-tropische-palmenlandschaft-in-sanften-naturtonen","fototapete-tropische-palmenlandschaft-in-sanften-naturtoenen","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/11000474796370","Fototapete Tropische Dschungelblätter in sattem Grün","fototapete-tropische-dschungelblatter-in-sattem-grun","fototapete-tropische-dschungelblaetter-in-sattem-gruen","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/11000346018130","Fototapete Ozeanwellen aus der Luft","fototapete-meereswellen-aus-der-vogelperspektive-kopie","fototapete-ozeanwellen-aus-der-luft","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/10997808824658","Fototapete Tropische Blätter in Naturtönen","base-kopie","fototapete-tropische-blaetter-in-naturtoenen","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/10997772124498","Fototapete Meereswellen aus der Vogelperspektive","fototapete-meereswellen-aus-der-vogelperspektive","fototapete-meereswellen-aus-der-vogelperspektive","CORRECT","false","false","false","","","","false","false"
"gid://shopify/Product/10997765636434","Fototapete Türkisblaues Wasser mit Lichtreflexen","fototapete-schimmernde-wasserreflexe-in-pastell-kopie","fototapete-tuerkisblaues-wasser-mit-lichtreflexen","NEEDS_CHANGE","true","true","true","","","","false","false"
"gid://shopify/Product/10997759148370","Fototapete Schimmernde Wasserreflexe in Pastell","fototapete-schimmernde-wasserreflexe-in-pastell","fototapete-schimmernde-wasserreflexe-in-pastell","CORRECT","false","false","false","","","","false","false"
"gid://shopify/Product/10997755543890","Fototapete Tropischer Wasserfall mit exotischen Vögeln","fototapete-tropischer-wasserfall-mit-exotischen-vogeln","fototapete-tropischer-wasserfall-mit-exotischen-voegeln","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997754855762","Fototapete Eleganter Pfau im romantischen Garten","fototapete-eleganter-pfau-im-romantischen-garten","fototapete-eleganter-pfau-im-romantischen-garten","CORRECT","false","false","false","","","","false","false"
"gid://shopify/Product/10997754134866","Fototapete Exotischer Vogel im tropischen Regenwald","fototapete-exotischer-vogel-im-tropischen-regenwald","fototapete-exotischer-vogel-im-tropischen-regenwald","CORRECT","false","false","false","","","","false","false"
"gid://shopify/Product/10997752856914","Fototapete Nebelwald mit Tannenpanorama","fototapete-nebelwald-mit-tannenpanorama","fototapete-nebelwald-mit-tannenpanorama","CORRECT","false","false","false","","","","false","false"
"gid://shopify/Product/10997751873874","Fototapete Mystischer Nebelwald in sattem Grün","fototapete-mystischer-nebelwald-in-sattem-grun","fototapete-mystischer-nebelwald-in-sattem-gruen","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997747155282","Fototapete Tropischer Fluss im üppigen Regenwald","fototapete-tropischer-fluss-im-uppigen-regenwald","fototapete-tropischer-fluss-im-ueppigen-regenwald","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997738570066","Fototapete Mystischer Regenwald im Morgennebel","fototapete-mystischer-regenwald-im-morgennebel","fototapete-mystischer-regenwald-im-morgennebel","CORRECT","false","false","false","","","","false","false"
"gid://shopify/Product/10997730181458","Fototapete Buntes Märchenschloss im Pastellstil für Mädchenzimmer","fototapete-buntes-marchenschloss-im-pastellstil-fur-madchenzimmer","fototapete-buntes-maerchenschloss-im-pastellstil-fuer-maedchenzimmer","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997729132882","Fototapete Zauberschloss in den Wolken mit rosa Ballons für Mädchenzimmer","fototapete-zauberschloss-in-den-wolken-mit-rosa-ballons-fur-madchenzimmer","fototapete-zauberschloss-in-den-wolken-mit-rosa-ballons-fuer-maedchenzimmer","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997728313682","Fototapete Meerjungfrauen im zauberhaften Unterwasserreich für Mädchenzimmer","fototapete-meerjungfrauen-im-zauberhaften-unterwasserreich-fur-madchenzimmer","fototapete-meerjungfrauen-im-zauberhaften-unterwasserreich-fuer-maedchenzimmer","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997727363410","Fototapete Magisches Einhorn auf Blumenwiese für Mädchenzimmer","fototapete-magisches-einhorn-auf-blumenwiese-fur-madchenzimmer","fototapete-magisches-einhorn-auf-blumenwiese-fuer-maedchenzimmer","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997721956690","Fototapete Magisches Einhorn mit Regenbogenmähne für Mädchenzimmer","fototapete-magisches-einhorn-mit-regenbogenmahne-fur-madchenzimmer","fototapete-magisches-einhorn-mit-regenbogenmaehne-fuer-maedchenzimmer","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997717401938","Fototapete Einhorn über den Wolken mit Regenbogen für Mädchenzimmer","fototapete-einhorn-uber-den-wolken-mit-regenbogen-fur-madchenzimmer","fototapete-einhorn-ueber-den-wolken-mit-regenbogen-fuer-maedchenzimmer","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997716386130","Fototapete Abstrakte Blüten in Pastellfarben","fototapete-abstrakte-bluten-in-pastellfarben","fototapete-abstrakte-blueten-in-pastellfarben","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997715272018","Fototapete Aquarell Lavendelfeld in Pastell für Mädchenzimmer","fototapete-aquarell-lavendelfeld-in-pastell-fur-madchenzimmer","fototapete-aquarell-lavendelfeld-in-pastell-fuer-maedchenzimmer","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997711176018","Fototapete Koalas im tropischen Dschungel für Kinderzimmer","fototapete-koalas-im-tropischen-dschungel-fur-kinderzimmer","fototapete-koalas-im-tropischen-dschungel-fuer-kinderzimmer","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997709701458","Fototapete Piratenschiff an tropischem Strand für Jungenzimmer","fototapete-piratenschiff-an-tropischem-strand-fur-jungenzimmer","fototapete-piratenschiff-an-tropischem-strand-fuer-jungenzimmer","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997708194130","Fototapete T-Rex in dramatischer Berglandschaft für Jungenzimmer","fototapete-t-rex-in-dramatischer-berglandschaft-fur-jungenzimmer","fototapete-t-rex-in-dramatischer-berglandschaft-fuer-jungenzimmer","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997706326354","Fototapete Dinosaurier in majestätischer Berglandschaft für Jungenzimmer","fototapete-dinosaurier-in-majestatischer-berglandschaft-fur-jungenzimmer","fototapete-dinosaurier-in-majestaetischer-berglandschaft-fuer-jungenzimmer","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997698265426","Fototapete Aquarell Dinosaurier in Berglandschaft für Jungenzimmer","fototapete-aquarell-dinosaurier-in-berglandschaft-fur-jungenzimmer","fototapete-aquarell-dinosaurier-in-berglandschaft-fuer-jungenzimmer","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997696856402","Fototapete Retro Sportwagen bei Nacht in der Neonstadt","fototapete-retro-sportwagen-bei-nacht-in-der-neonstadt","fototapete-retro-sportwagen-bei-nacht-in-der-neonstadt","CORRECT","false","false","false","","","","false","false"
"gid://shopify/Product/10997676343634","Fototapete Sportwagen in Action für Jungenzimmer","fototapete-sportwagen-in-action-fur-jungenzimmer","fototapete-sportwagen-in-action-fuer-jungenzimmer","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997667332434","Fototapete Pastell Wolken mit Mond und Sternen","fototapete-pastell-wolken-mit-mond-und-sternen-fur-kinderzimmer","fototapete-pastell-wolken-mit-mond-und-sternen","NEEDS_CHANGE","true","false","false","","","","false","false"
"gid://shopify/Product/10997665005906","Fototapete Aquarell Waldtiere mit Rehen und Hasen","fototapete-aquarell-waldtiere-mit-rehen-und-hasen-fur-kinderzimmer","fototapete-aquarell-waldtiere-mit-rehen-und-hasen","NEEDS_CHANGE","true","false","false","","","","false","false"
"gid://shopify/Product/10997662679378","Fototapete Aquarell Safari mit Dschungeltieren","fototapete-aquarell-safari-mit-dschungeltieren-fur-kinderzimmer","fototapete-aquarell-safari-mit-dschungeltieren","NEEDS_CHANGE","true","false","false","","","","false","false"
"gid://shopify/Product/10997652750674","Fototapete Aquarell Heißluftballons mit Hasen","fototapete-aquarell-heissluftballons-mit-hasen-fur-kinderzimmer","fototapete-aquarell-heissluftballons-mit-hasen","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10997641740626","Fototapete Pastell Regenbogen mit Blumenlandschaft","fototapete-aquarell-safari-mit-heissluftballons-fur-kinderzimmer-kopie","fototapete-pastell-regenbogen-mit-blumenlandschaft","NEEDS_CHANGE","true","true","false","","","","false","false"
"gid://shopify/Product/10997621752146","Fototapete Aquarell Safari mit Heißluftballons","fototapete-aquarell-safari-mit-heissluftballons-fur-kinderzimmer","fototapete-aquarell-safari-mit-heissluftballons","NEEDS_CHANGE","true","false","true","","","","false","false"
"gid://shopify/Product/10992259268946","Fototapete Retro Sportwagen mit Palmen bei Sonnenuntergang","base-product","fototapete-retro-sportwagen-mit-palmen-bei-sonnenuntergang","NEEDS_CHANGE","true","true","false","","","","false","false"
